;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;Total;Total Demanda
11;2,205.20;6.3;19;95.3;954.1;462.1;223.1;600.6;187.6;85.7;10,709.60;1,222.60;2,112.90;916.8;751.8;586.4;48.3;281.6;133.5;1,484.80;99.1;218.9;162.2;1,249.50;653.2;158.2;2,429.90;434.7;922;21.5;57;2.4;3.3;295.2;0;166.8;0.6;112.9;8.1;24.8;32.8;3.3;16.8;4.2;180.8;144.3;222.1;80.7;20.8;23.3;0.9;0.8;22.7;206.9;18.9;1,490.90;77.5;5.5;6.8;20.5;11.1;83.5;0;0;32,782.70;58,223.00
12;124.3;0;2.8;0.3;173.2;1.1;0.1;0.9;1;0;148.7;724.5;0.6;0;0;0;0;0.5;1.1;0;1.1;4.1;3.5;0;0.5;5.7;6.7;0.5;528.5;4.6;1.2;0;0;20.7;0;110.3;0;0.1;1.2;2;0.4;0;1.2;0.1;15.3;17.2;89.8;13.8;35.4;1.5;0;0.3;0;101.1;11.8;4,614.80;347.8;3.4;5.6;28.5;0;26.8;0;0;7,184.60;28,890.90
13;278.4;0;16.4;14.1;2,066.90;246;120.4;185.6;188.9;0;874.9;277.6;3,559.50;294.3;184.8;110.5;43;545.5;247.9;2,930.80;69.9;253.5;72.4;0;4.1;150.2;1,302.80;910.5;519.3;93.9;44.6;0.4;5.4;282.7;0;1,017.30;6;14.3;37.8;16.5;14.8;1.3;7;3;8.1;163.3;80.3;178.3;6.6;107.6;2.2;0;220.3;18.7;11.8;56.8;5.9;62.9;69;24.7;4.9;57.6;0;0;18,092.20;26,455.50
14;2.1;0;0;166.8;1,056.70;29.9;54.7;1.6;37.4;0.7;345.6;75.2;87.2;1,596.50;343.9;56.7;2;185.2;21.3;596.3;143.1;103;29;0;12.1;71.2;6,083.10;294;152.9;23.8;7.8;0.4;7.2;22.1;1.1;387.5;0.6;1.4;0;7.6;0.5;0;0.6;6.9;3.6;75;20.2;14.9;0.5;8.4;0;0.3;180.3;42.1;12.4;152.1;9.5;16.1;9.9;18.6;1.9;10.8;0;0;12,592.30;17,676.50
15;0;0;1.9;23.7;45.5;16.1;3.8;19.5;71.7;0.1;36.8;11.3;14.7;88.6;5,079.40;6,904.00;18.9;1,567.50;1,945.50;4,128.90;283;337.4;594.4;125.4;7.9;77.5;1,861.70;7.5;660.3;21.8;46.7;8.9;7;194.8;0;22.4;0;8.2;5.6;7.9;6.9;1.2;3.5;9;19.6;219.6;122.7;33.4;1;0;0;0;18.2;29;6.7;0;0;1.6;2;0;0.5;1;0;0;24,732.20;35,023.40
16;594.6;0.1;8.3;30.7;802.7;126.9;27.2;37.8;23.1;0.1;267.9;42.2;267.7;37.8;1,952.60;3,765.60;161.1;1,086.20;1,313.40;5,801.00;444.5;320.5;564;917.3;58.7;311.9;2,481.20;65;308.1;34.8;21.9;0;0.6;243;0;412.1;0.7;12.1;0.1;2.2;0;0;0.4;8.6;0.2;273.7;116.5;58.6;1.9;323.4;8.2;0.5;89;42.6;19.4;3.8;0;10;41.3;11.4;47.1;37.6;0;0;23,639.90;35,094.80
17;3;0;6;1.9;0.9;4.8;0;0;36;0;0;59.8;0.2;0.3;0;38.4;741.9;273.4;171.6;1,566.60;13;69.9;76.3;147.6;25.3;19;87.9;19.2;240.1;144.6;44.5;2.1;5.5;29.7;8.7;503.1;18.3;1,002.50;831.6;752.1;23.6;1;10.6;13.6;5.6;546.4;100.9;181;46.8;44;0;0;291;62.1;54.1;149.1;61.1;35.9;35.1;49.7;143.1;34.9;0;0;8,835.40;23,440.80
18;24.1;0;7.6;5.1;15.2;5.2;0.6;0.1;4.4;0;3.8;0;0.1;31.7;77.4;52.5;302.5;1,850.70;1,090.00;1,516.10;426.9;42.7;552.5;744.8;101;44.1;3,743.60;73.6;285.3;41.8;45.8;0.6;0.9;39;3.3;446.1;2.7;12;254.4;104.4;18.5;2.9;8.7;37.7;43.3;569.1;88.7;57.4;7.2;0;0.6;0;148.2;52.9;28.1;0.3;0;37.1;20.3;19.3;25.8;32.8;0;0;13,151.50;26,809.20
19;88.6;0;16.1;94.2;131.9;14.3;43.4;68.9;103.7;660.5;57.6;182.2;83.3;67.5;119.6;108;45.3;94.1;2,644.10;1,258.90;194.1;36.4;462.9;1,301.80;188.2;51.8;487.1;173.5;510.8;47.4;8.4;0;0.7;682.3;0;815.4;10.2;11;242.1;53.4;0;0;0.9;14.8;72.9;1,187.50;80.2;29.2;10.6;27;0.1;0;25.6;82.2;11.6;4.1;1.9;20.7;28.7;11.1;22.8;28.5;0;0;12,820.10;38,949.70
20;1.7;0;15.2;1;0;2.5;7.7;0;0.6;0;0;0;113.3;33.8;17.2;125.7;2.8;431.3;143.3;18,226.60;738.8;6.6;64.4;0;0.1;115.1;20.2;2,406.60;129.1;15.4;435.9;0.1;0.1;22;7.6;51.5;0.2;0.4;0;10.1;0;0;0.2;16.8;0.6;129.3;124;5.6;216;132.8;0.1;0.1;188.4;15.6;11.1;2.2;0;3.7;58.1;3.8;2.6;5.1;0;0;24,063.00;101,720.00
21;0;0;7.8;1.7;1;0.3;0.8;0;2.1;0;0.2;0;3.7;0;3.8;2.3;10.6;26.4;30.5;14.3;3,495.80;3.5;826.8;0;0.1;0.1;3;23.8;28.7;13;72.5;0.2;288.7;154.8;1.1;28.8;0;0.1;0;17.1;9.8;3.6;4.8;2.1;0.2;425.4;106.8;16.4;2.5;47.2;0;0.1;15.3;17.6;13.4;0;0;1.6;22.7;10.4;0.9;2;0;0;5,766.40;18,508.20
22;7.5;0;13.6;4;23.3;86.3;7.4;4.6;0;0.4;10.4;36.5;10.8;2.9;23.3;48.9;3.5;7.1;107;1,175.00;0.8;567.7;97;225.6;8.8;14.3;886.8;26.5;101.8;71.6;2;0;0.6;2.5;0.6;270.5;0.5;82.3;0.1;8.4;99.8;11.7;42.8;9;4.5;38.1;45.6;39.8;53.9;49.4;0.6;0.3;188.9;33.9;224.6;1,671.30;19.8;58.9;7.2;20.2;8.9;18.8;0;0;6,588.90;20,013.60
23;248.6;7.5;121.6;87.9;524.2;41.6;101.3;180.4;22;72.6;259.2;43.4;110.3;163.3;388.7;371.5;0;139.9;0.4;291.1;0.4;41.4;647.1;454.9;173.3;117;37.8;140.1;317.5;158.1;621.1;75.1;677;311.2;38.9;261.2;52.7;22.7;444.4;85.1;206.1;22.9;89.6;18.8;144.5;29.1;40.8;18.9;31.2;218;1.3;34.7;134.7;258.1;275.1;281.7;81.6;65.5;289;0;8.5;30.7;0;0;10,133.30;19,202.70
24;871.7;2.9;18.8;182.6;1,883.20;234.8;158.4;822.1;68.8;1,216.80;1,370.00;120.1;361;1,993.40;1,577.80;604.9;21.6;283.1;133.2;643.9;92.8;204.9;309.6;12,049.40;219.2;419.9;591.3;357.6;1,670.60;2,130.20;1,879.40;136.4;795.9;1,271.40;94.8;2,602.80;47.7;78.7;917.6;239.1;7.1;0.3;13.9;691.3;391.9;115.2;144.9;102.7;120.3;106.2;8.6;23.4;379.7;1,063.00;446;666.1;559.6;208;354.3;68.3;42.3;248.5;0;0;44,440.00;60,520.60
25;467.1;0;5;2.2;138.4;16;2.1;10.8;5.6;243.3;58;16;10.1;9.1;18.6;13.9;2.5;0.1;84;11.8;4.7;7.4;19.3;253.4;1,086.40;963.2;65.7;31.5;154;230.8;4;0;0;48;0.1;501.1;3.9;4.4;11.8;11.1;16.9;0;8.3;132;47.9;13.1;18.3;10.3;5.9;9.9;3.9;7.8;42.4;122.6;68.1;117.5;75.8;26.3;98.3;26.7;4.5;43.6;0;0;5,415.50;9,125.40
26;8.3;0;5.5;34.7;270.7;48.2;16;222.9;19.4;74.1;493.3;40;255.7;236.9;2,409.30;384.4;14.8;70.3;93.6;76.3;41.5;39.1;120.3;214.8;84.4;4,000.10;430.3;38.3;308.4;129;96.1;7.7;36.7;72.2;0.4;109.7;23.3;23.7;78.7;85.9;0;0;0.5;136.5;169.8;39.9;44.5;28.5;19.4;31.8;3.5;9.3;87.7;18.9;18;47.1;211.7;47;39.7;19.7;4;14.3;0;0;11,706.80;19,617.70
27;366.6;1.2;2.2;58.2;564.1;102.8;1.4;49.6;54.2;29.8;221.9;62.1;156.6;198.2;65.7;116.6;36.8;11.2;119.9;1.5;81.7;52.9;361.7;619.8;81.4;118.2;19,869.30;179.3;986.4;936.8;722.2;16.6;48.7;772.4;43.6;783.8;13.4;51.4;379;349.2;136.3;64;49.5;1,443.70;156.1;220.1;70.6;70.4;64.9;283.4;8.3;27.3;341.8;476.1;482.3;137.4;226.7;103.1;101.3;28.7;6.2;89.3;0;0;35,579.80;120,249.40
28;741.2;33.2;3.9;29.4;85.1;11.6;9.3;14.8;4.8;11.6;15.6;26.6;45.4;28.6;50.2;20.1;3.2;84.6;79.4;49.4;15.2;6.1;83.6;57.6;77.1;219.4;84.6;323.6;417;79.6;945.5;0.9;7.5;35.1;18;149.7;0.6;2.9;17.8;31;26.8;8.2;95.2;13.9;83.2;42.7;27.6;9.1;22.8;75.3;0.9;0.2;57.3;101.8;50.6;68.3;4.3;44;43.4;0.8;1.9;6.6;0;0;4,705.70;27,519.70
29;1,964.00;73.5;78.8;100.2;7,230.70;984.2;406.9;665.9;169;157.9;3,075.50;771.1;1,075.00;774.6;1,498.40;1,677.50;238;978;1,392.70;3,516.00;804.7;692.2;678.1;1,262.70;223.2;296.9;3,608.00;368.1;5,745.30;1,082.30;457.2;9.3;164.3;364;5.2;3,208.20;243.8;354.3;273.4;200.7;104.4;15;53;44.3;40.6;704;205.1;176.5;76.2;122;3.3;5.7;266.8;290.8;285.5;1,864.00;187.7;104.8;91.2;66.9;52.9;86.7;0;0;51,717.20;113,989.30
30;1,679.50;2;62.4;51.4;6,940.50;794.5;69.2;301.3;83.7;68.6;1,711.40;445.5;902.9;369;782.1;1,068.10;237.1;792.8;640.8;2,850.60;189.5;399.3;361.2;749.6;123.8;154.1;2,691.00;319.8;698;208.9;366.2;6.3;107.7;171.3;5.9;2,975.00;92.4;308;247.7;155.4;94.8;15.8;43.1;32.1;41;370.9;154.1;144.9;62.6;97.7;3.7;1.8;246.3;226.7;262;1,507.70;155.4;95.6;77.6;59.5;48.1;74.3;0;0;34,000.20;85,007.40
31;131.5;10.5;15.3;231.5;2,416.90;223.2;181.8;416.3;49.9;398.1;819.6;90.3;413.7;629.6;587.4;454.2;48.5;217.4;349.6;602.9;88.7;246.3;101.3;85.2;28.3;281.1;567.9;294.6;4,121.10;915.1;4,244.30;22.2;25.1;6,707.50;51.4;341.3;297.8;69.1;89.7;143.2;44.6;15.5;28.7;36.5;56.1;160.1;69.4;86.5;50.9;267;5.4;553.6;151.9;1,506.90;105.6;104.9;39.1;34.3;67.5;158.8;23.8;52.8;0;0;30,629.30;52,644.80
32;0.4;0.2;74.4;4.7;30.2;5.2;2.3;5.7;0.8;12.1;14.4;2.5;6;5.6;10.4;7.9;1;4.2;5.8;20.1;2.9;2.7;3.2;6.4;1.2;14.7;13.3;5.3;56.2;11.9;7.9;4.1;0.6;24.2;1.3;7.2;4.4;3.8;1.6;2.5;0.9;0.7;1.1;1.3;2;2.2;3.2;1.3;3;2.7;0.9;129;2.7;22.3;7;5.8;2.6;4.6;4.6;0.9;0.9;0.9;0;0;589.9;1,815.90
33;0.1;0.1;7.3;5.2;21.7;4.9;2.4;6;1.2;13.4;24.4;7;10.4;6.9;9;13.5;1.9;7.1;6.6;8.5;3.6;3.9;7.9;2.1;1.5;12.4;36.8;5.7;153.4;47.8;7.9;0.8;2;41.6;5.1;12.5;13.3;3.5;2.8;22.2;181.2;88.9;54.5;5.5;23.4;24.2;29.9;14.3;14.8;12.3;2.8;1,094.80;39.2;69.6;17.9;26.3;2.1;4.6;4.2;173.1;1.9;2.4;0;0;2,432.30;9,150.00
34;32.2;0.1;36.9;101.2;1,266.20;136;94;234.4;57.1;682.5;956.1;110.8;255.8;246.2;483.2;296.9;36.9;198;242.6;494.9;57.1;120.3;1,139.80;3,091.00;48.1;158.7;201.5;925.9;6,444.20;1,566.40;6,379.50;305.6;1,192.70;10,000.90;120.8;238.4;113;53.2;102.8;178.3;2.8;4.2;14.6;747.2;70.4;136.5;91.2;101.3;64.8;225.3;9.8;18.4;116.1;435.7;13.1;0;10.1;48.9;64.8;0;35.3;38.7;0;0;40,649.40;53,594.40
35;0;0;0.4;1.2;25.9;6.6;1.2;6.2;1.9;14.6;20.5;26.7;20.1;10;0;30.3;0;2.3;23.6;17.9;0;4.6;7.6;84.3;15.5;27.2;324.4;3.5;311.2;176;10.4;0;0;91.3;1,809.80;142;16.5;1;311.7;332.7;63.9;38.1;35.6;170.4;155.3;132.3;38.5;82;62.3;46.4;16.2;3.2;127.8;157.2;83.6;67.3;38;1.6;2.4;0;3.4;7.9;0;0;5,212.50;5,603.90
36;1;0;5.3;2.8;16.1;4.7;2.4;2.3;2;9.7;78.6;8.7;24.2;2.6;11.4;31.9;7;3;23.2;29.7;19.9;4.1;13.1;12.2;5.3;70.5;466.5;28.4;225;82.7;320.2;1.3;12.7;63.3;8.6;733.6;42.1;43.8;13.4;832.4;348.3;90.5;142.6;76.1;227.5;327.9;112.4;62.5;36.6;17.3;8;6,151.10;102.7;354.8;178.8;487.9;91.4;20.3;24.3;845;11.6;14.3;0;0;12,997.60;110,101.50
37;0;0;0;0.6;94.5;3.3;0.5;0.5;110.9;0.4;21.1;11.6;0;2;0.1;3;0.6;2.8;4.7;17.9;0.2;3.7;1.4;1.6;1.3;3.6;25.9;48.3;242.2;83.8;5;0.4;3.8;36.1;0.2;39;863.2;86;28.1;125.4;311.2;43.6;134.7;26.8;18.1;251.1;13.9;82.9;3.3;2.7;0.7;24.5;67.2;248.5;681;151.2;20.6;6.6;25;142.1;0.7;4.9;0;0;4,135.00;10,571.90
38;0;0;0;0;337.9;7;0.4;0;211.9;0;74.1;42.3;0.5;2.9;0.1;2.8;1.1;4.6;4.4;82.7;0.5;5.8;6.1;23.6;1;4.1;11.5;160.6;754.9;254.4;3.8;0.4;5.4;16.7;0;99.9;19.8;1,209.20;89.8;98.9;0;0;0.8;53.7;77.5;1.2;18.4;252.5;4.2;6;0;79.6;56;6.1;97.8;0.1;0;11.1;10.2;0;1.7;3.9;0;0;4,219.90;12,046.90
39;0;0;9.6;52.8;287.3;55.7;12.6;23.2;9.4;79.9;284.8;134.6;65.1;80.1;57.9;71.1;0;50.7;138;87.8;21.9;43.2;56.1;963.5;57.1;269.9;1,229.60;148.1;461.4;527;227.8;8.7;355.7;290.7;75.1;817.5;166.5;294.2;4,350.30;320.7;283.9;85.4;249.5;447.4;359.9;201.4;115.8;228.9;107.7;78;24.1;327.7;254.4;1,113.70;109.9;298.4;386.3;39.5;80.7;210.7;45.4;33.5;0;0;17,267.80;32,142.80
40;0;0;2.6;3.8;51.8;13.9;2.1;6;10;4.8;26;12.6;10.9;11.8;2.5;18.5;0.3;14.8;18.6;14;11.8;9.8;15.1;20.2;8.7;17.7;102.2;27.1;249;89.1;180.6;82.5;15.6;63.2;5.5;59.3;24.3;30.1;67.3;4,021.00;447.9;50.5;143.4;111.8;174.2;35.7;85;28.6;20.3;4.5;3.6;123.8;63.9;429.4;47.3;108.8;67.8;55;39.3;9.5;33.2;10.7;0;0;7,419.30;35,857.50
41;569.8;13.4;22.6;31.6;868.8;158.3;44.1;98.4;44.8;184;273;91.9;135.7;120;177.2;232.4;33.8;120;174.9;429.5;101.2;85.9;153.6;433.8;74.3;115.3;1,186.00;269.6;1,211.80;949.6;411;17.9;77.8;357.6;42.8;907.3;95.4;69;270.2;438.9;3,775.50;1,532.40;243.3;296.8;505;253.4;85.2;145.7;88.1;113.1;42.2;404.8;348;1,966.00;377.8;581.5;285.1;143.5;173.3;210;29;80.6;0;0;25,668.50;39,851.50
42;455.9;0.3;16.2;10.6;106.4;23.3;14.9;19.6;13.3;9.7;43.3;8.3;29.4;29.9;24.6;51.5;5.7;17.5;30.5;24.5;11.5;19;30.3;79;19;26.5;80.4;82.2;398.3;181.1;282.8;12.5;9.6;109;9;103.9;6.4;5.9;15.4;21.8;5.1;1,748.80;27.6;465.2;109.2;76.2;14.2;19.1;18.2;102.3;4.4;9.6;100.1;65.9;21.5;44.6;19.7;19.6;41.7;5.8;9.2;23.3;0;0;6,994.00;19,330.00
43;85.2;0;3.4;5.8;105.1;24.8;5.9;10.9;7.9;12;32.3;12.4;15.1;17.5;7.3;33.4;5.3;18;30.4;19.9;15;17.2;21.5;36.7;16.3;19.1;124.6;73.7;419.9;331;50.1;4.6;18.4;47;5.2;150.9;27.9;17.4;58.5;251.5;403.5;4,862.50;2,157.20;99.5;141.5;66.6;29.9;36.8;29.7;19.4;4.8;43.7;65.4;28.9;93.8;103.4;21.3;30.5;52.9;0;6.4;19.4;0;0;10,476.20;15,584.40
44;0;0;3.5;40.7;309.4;205.4;32;61.3;104.6;9.3;218.6;54;167.9;77.5;20;297.8;27.7;131.2;127.6;71.6;40.2;117.6;145.3;278.7;59.3;207.6;723.5;834.2;3,571.00;6,851.50;365.8;89.1;61.7;1,009.60;98.5;4,497.00;270.4;588.5;1,120.70;511.3;1,754.70;141.6;634.1;848.2;1,240.30;547.1;210;473.9;240.4;135.6;60.8;160.6;908.5;1,112.20;235.3;252.6;353.2;630.1;637.4;0.7;17.6;523.1;0;0;34,519.60;59,328.10
45;10;0;7.1;59.8;1,030.60;221.2;33.8;60;51.8;645.7;255;160.9;145.9;241.6;61.6;216.1;86.9;269.2;279.6;304.1;107.1;126.1;86.1;344.9;115.1;352.3;1,716.10;666.5;3,001.60;1,701.10;289.9;40.1;31.7;276.2;22;1,109.80;217.8;489.5;687.5;676.5;887.1;369.9;435.6;1,722.10;8,259.60;40.3;327.1;183.5;33.3;155.2;17.5;86.3;639.1;444.6;359;745.6;592.3;530.5;333;236;45.2;188.3;0;0;32,829.90;42,453.00
46;13.6;0;2.5;54.9;4.6;0.4;0.3;0.3;8.2;107.3;3.4;2.1;1;0.9;0.3;140.9;36.3;0.9;15;2;813;0.7;147.5;10.9;11.2;3.8;5,091.60;42.4;16.9;144.5;147.8;2.2;299.6;127.9;14.5;104.7;96.6;20.6;518.6;296.2;8.2;23.5;12.5;632.5;146.9;5,206.70;96.2;307;36.3;107.1;85.3;1.6;1,294.70;1,153.30;184.7;45.6;26.1;115.2;77.6;0.2;4.2;19.1;0;0;17,890.60;27,983.40
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394;17,425.30
48;2;0;3;6.5;978.7;161.2;11.3;79.6;127.9;9.3;261;148.4;58.7;106.5;18.5;84.6;25;102.4;119.8;265.3;23.9;138.9;39.8;76.5;26.3;105.5;278.5;562.9;2,696.30;858.1;98.2;10.9;130.5;9.3;1.6;368.5;401.3;188.1;277.8;224.9;1,004.50;446.8;373.3;89;222.7;118.5;92.5;2,513.10;65.3;73.3;4.5;273;46.1;273.8;50.5;27.5;13.9;235.3;188.1;103.2;14.4;71.4;0;0;15,388.20;16,849.20
49;289.7;0;2.6;47;113.8;52.2;0.5;0.5;40.8;2.1;14.7;15;48.2;0.2;6.9;59.7;12.2;69.2;62.6;101.3;781.3;21.2;74.7;236;66.2;35.9;215.2;113.6;1,223.50;654.1;177.4;1.5;119.7;236.2;0;490.9;242.9;135.9;458.3;741.1;0.2;0;2.4;83.7;126.4;44.4;191.8;260.5;1,230.30;26.1;6.5;69.4;244.3;68.7;416.6;8.7;32.7;570.5;385.5;46.2;34.9;83;0;0;10,897.60;12,882.00
50;22.1;0;23.3;60.4;480.5;86.5;15.2;34.1;48.4;50.6;169.6;34.7;87;106.8;59.2;144.3;25.1;63.4;123.1;311.8;44.4;61.8;202.6;167.2;218;258.8;831.9;83.6;615.3;1,195.50;716.6;165.3;924.9;340.9;42.3;675.5;75.8;303.3;391;261.8;28.4;0.2;15.2;294.7;132.4;91.1;50.8;125;26.7;1,281.70;1.6;133.1;125.6;192.3;476.7;65.7;38.5;95.9;188.3;3.8;92.1;81.8;0;0;13,064.20;14,629.50
51;3.5;0;1.4;3.3;571.2;38.9;9.6;72.9;21.9;0.3;165.4;112.3;114.6;39.2;38.4;125.1;18.4;35.2;69;289.1;46.5;34.8;29.7;19.6;1.8;28.3;139.1;164.3;930.3;272.9;53.2;0;8.9;281.1;0;281.4;36.7;13;113.7;61.2;0;0;1;53.3;93.1;49.9;33.5;71.9;12.9;17.4;72.2;74.1;333.9;22.8;20.1;18.1;27.8;13.4;19.4;46.3;7.1;13.7;0;0;5,248.10;5,562.50
52;0;0;3;0.5;1.5;3.4;0.1;0.2;0.7;4.7;14.7;8.2;1.9;0.4;0;3.3;2.8;0.1;1.8;5.1;1.6;0.9;15;5;3.9;16.6;171.2;36.7;72.9;28.3;24.2;0.6;85.5;41.2;0;13.2;43;7.9;6.5;166.9;4.6;1.8;2.4;10.2;2.3;27.5;6.3;98.5;31.8;212.1;2.3;1,416.90;19.7;27.9;11.9;9.2;0;0.9;14;3.9;3.7;1.6;0;0;2,703.00;16,402.10
53;89.2;0;5.5;98.9;1,115.40;179.8;60.9;212.1;154;199.1;503.1;181.9;237.1;135.6;122.2;300;107.2;229.2;240.4;775.7;185.8;16.9;352;1,173.00;355.2;184.8;1,882.80;579.7;6,057.40;2,974.40;1,265.60;34.2;179.7;1,467.30;82.2;796.3;146.4;41.7;902.1;1,887.20;1,532.50;232.6;615.8;922.1;1,971.30;739.1;300.4;227.2;128.9;177.2;29.1;234;5,959.40;2,399.80;872.4;1,558.40;750.5;19.1;275.5;118.9;35.5;287.6;0;0;44,899.30;48,955.30
54;5;0;27.9;3.6;20.7;7.2;2.1;3.3;4;0;6.3;19.7;10;6.1;17.1;17;2.1;8.3;6.4;20.4;7.2;4.5;14.1;44.8;2.4;8.8;293;1.9;89.2;252.9;51.1;13.5;51.2;49;5.4;177;6.8;1.1;17.4;11.1;0;0;0.2;4.4;7.9;3.7;10.6;17;6.7;18.8;3.9;12.3;26.9;10.8;101;27.7;43.1;10.6;16.9;1.7;3.5;4.8;0;0;1,622.10;69,258.00
55;6.5;0;0.9;4.4;128.3;19.7;0.9;6.7;19.3;64.6;24.1;56.8;35.4;5.2;60.9;10.8;25.3;8.3;28.9;125.2;39.9;18.6;75.3;178.2;31.3;62.9;155.8;150.9;372;314.1;91.2;0.8;150.3;3.4;0.2;51.6;68.9;11;336.4;326.4;50.3;0.2;21.5;44.6;91.7;89;109.9;111.9;81;41.8;21.6;2.9;212.5;26.7;139.5;36.6;139.9;1.1;6.1;325.2;18.5;16.1;0;0;4,660.00;61,673.90
