indice;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995
93;10861;10498;9859;8931;8310;8500;8662;8339;7950;7627;7102;6733;6400;5740;5249;4913;4545;4194;3816;3568;3276;3122;2902
94;10012;9703;8763;8007;7537;7078;6801;6392;5993;5582;5033;4494;4069;3636;3256;2990;2670;2407;2241;2071;1955;1832;1725
95;1245;1263;1284;1272;1286;1167;1096;1063;1207;1184;1089;1026;955;904;867;844;767;685;620;550;502;465;431
96;8855;8383;8370;7924;8005;8376;8257;7961;7698;7586;7018;6531;6290;5961;5781;5574;5428;5336;5161;4993;4792;4709;4622
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;2049;1474;1483;1625;1833;2292;2587;2639;2585;3264;3379;3090;2855;2874;2678;2445;2222;1765;1708;1710;1827;2172;2389
110;26255;25045;24496;24309;24376;24829;25399;24546;24168;24415;23260;21144;20505;18398;17437;16098;15281;14504;14452;13725;13366;12869;12565
113;9249;8993;8667;8243;8161;7984;8831;7932;7771;8778;8689;8643;8289;8337;8556;8153;8109;7572;7435;7308;6875;6407;5972
131;4358;4083;4034;4103;4114;4554;4622;4935;5614;6569;6486;6442;6143;5954;5480;5371;5387;5218;4707;4236;3866;3494;3069
137;7063;6920;6487;6395;6667;6487;6222;5942;5256;5266;4899;4574;4153;3751;3590;3431;3018;2638;2377;2024;1761;1561;1375
141;63187;59374;56440;53291;53798;62703;73557;87560;107575;115549;113088;108814;99008;87547;80950;74418;67287;59546;52401;46548;42453;40608;39512
155;66631;62557;58817;55563;54596;57492;58650;58635;59847;60655;58357;57170;54901;52841;50143;48322;45704;43725;39784;36283;33574;31545;30790
159;5314;4841;4644;4442;4322;4509;4838;5150;4820;4839;5043;4891;4856;4638;4521;4347;4184;4040;3777;3632;3376;3270;3071
162;16369;14866;14175;13969;13508;12957;12796;12420;13207;12925;12005;11164;10346;9795;9454;8850;7689;6236;5090;4109;3427;2924;2466
169;21225;20559;19716;18523;17661;17857;17845;17135;17863;17436;16813;15121;13057;11688;10888;10463;10011;9091;8242;7269;6579;5906;5279
174;5245;4563;4205;3531;3443;3584;3845;3588;3533;3523;3074;3264;2801;2571;2220;1962;1950;1909;1715;1565;1424;1310;1201
180;26112;24812;24376;21960;21056;20405;21047;20348;20091;20011;18757;15797;12898;11811;11256;10435;9530;8296;7427;6719;6103;5591;5002
187;15180;14838;14108;13062;13111;13059;13042;13346;13415;12400;11397;10517;9676;8298;7290;6185;5180;4655;4839;4479;4208;4060;3787
190;10920;10203;10546;9569;10121;10418;10850;10949;10794;10657;9559;8985;8370;7381;6787;6262;5712;5114;4714;4369;4049;3884;3628
197;9887;9761;9718;9519;9419;9721;10480;10622;10072;9776;9294;8672;8068;7492;7029;6529;6178;5809;5572;5159;4798;4662;4509
