ind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,0.027654393111484352,3.175016430710029e-06,0.0,6.350032861420058e-06,0.8783778206052215,0.021405960775847017,0.00011747560793627108,0.0007556539105089869,0.0,0.0,0.01539247965608222,0.004752999596772913,0.006330982762835798,0.0,0.0,0.0,6.350032861420058e-06,0.0,0.00029210151162532263,0.0,3.175016430710029e-06,0.00023812623230325215,0.0,0.0,0.0,0.00022542616658041204,0.0004349772510072739,0.0,0.008251867703415364,0.0019272349734409876,0.0,0.0,0.0,0.00031432662664029285,0.0,0.01866274657971355,0.0,0.0,0.0,0.0,1.5875082153550143e-05,3.175016430710029e-06,3.8100197168520346e-05,0.0,0.0002667013801796424,0.0,0.0022637867150962503,0.0,0.0002317761994418321,0.0,0.0,0.0,0.002076460745684359,0.0029241901326839364,0.003571893484548782,0.0019081848748567273,0.0006413533190034258,7.302537790633066e-05,0.0008064541734003473,2.540013144568023e-05,0.0,0.0,0.0,0.0
2,0.008153665229321835,0.6246177969423756,0.0,0.0009408075264602117,0.020148961191689532,0.0,0.05715405723245787,0.17796942375539004,0.0,0.0,0.0021952175617404937,0.004860838886711094,0.028616228929831438,0.0,0.0,0.0,0.0,0.0,0.00023520188161505292,0.0,0.0,0.01630733045864367,0.0,0.02987063896511172,0.0,0.0021168169345354764,0.0011760094080752645,0.0,0.008153665229321835,0.0003920031360250882,0.0,0.0,0.0,0.0,0.0,0.009486475891807135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006272050176401411,0.0067424539396315165,0.0,0.0,0.0,0.00023520188161505292,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.1498152502519315,0.0,0.6829022505878402,0.0,0.0,0.0,0.0,0.0,0.0,0.00033590863285186433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001007725898555593,0.0,0.008733624454148473,0.001007725898555593,0.0,0.0,0.0,0.0,0.0,0.01175680214981525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020154517971111858,0.0715485387974471,0.019818609338259994,0.03191132012092711,0.001007725898555593,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.00010668108046598296,0.0018882551242478984,0.0033426738546007994,9.24569364038519e-05,1.0668108046598295e-05,0.0025354536790748615,6.045261226405701e-05,0.6031179323784192,0.014935351265237614,0.00043028035787946457,9.956900843491742e-05,0.034333527729968845,0.07436738119283673,0.003630712771858953,1.0668108046598295e-05,0.015835028377167402,0.0007823279234172083,0.0027665960200844914,0.0,0.00027737080921155566,0.0011485996330170831,0.20295008747848597,0.00027737080921155566,0.0012339444973898696,0.01906035304325562,1.0668108046598295e-05,0.010639659758474033,0.00011734918851258124,3.5560360155327653e-06,0.0,0.0,0.00013157333257471233,0.0,0.0008214443195880688,3.200432413979489e-05,3.5560360155327653e-06,3.5560360155327653e-06,0.00024181044905622804,2.133621609319659e-05,7.112072031065531e-06,2.4892252108729355e-05,0.0001564655846834417,0.0013975221541043766,2.4892252108729355e-05,0.00204472070893134,7.112072031065531e-06,0.0,0.00012090522452811402,3.5560360155327653e-06,0.0,9.24569364038519e-05,0.0005903019785784391,1.7780180077663826e-05,0.0,0.0,4.622846820192595e-05,0.00011379315249704849,0.0,3.5560360155327653e-06,2.8448288124262123e-05,0.0,0.0
5,0.13839675438415341,1.314166527427594e-05,0.0030845365779479106,0.0003848630544609383,0.44297362092303305,0.0036515055654952437,1.8773807534679918e-06,0.001103899883039179,0.0,0.00016520950630518328,0.005465055373345324,0.005350535147383776,3.7547615069359835e-05,1.8773807534679918e-06,0.0,3.7547615069359836e-06,3.7547615069359836e-06,3.1915472808955855e-05,0.0001990023598676071,0.0,0.0,7.321784938525167e-05,0.0009368129959805278,0.008654725273487441,0.0017027843433954685,4.50571380832318e-05,0.0014906403182535855,0.00010513332219420752,0.02085582279027592,0.011384436889029901,0.00016145474479824728,0.0,0.0,0.0006927534980296889,9.386903767339959e-06,0.312384893092553,7.509523013871967e-06,3.379285356242385e-05,5.819880335750774e-05,6.570832637137971e-05,7.884999164565565e-05,3.7547615069359836e-06,7.134046863178368e-05,0.0005894975565889493,0.0006476963599464571,9.01142761664636e-05,0.0016746236320934486,2.4405949795083892e-05,0.00041114638500949015,0.00034731543939157846,3.7547615069359836e-06,2.065118828814791e-05,0.000227163071169627,0.00587056961609441,0.006142789825347269,0.0074025123109242915,0.007177226620508133,0.00399131148187295,0.004233493599070322,0.00022153092890922303,0.0,0.0012390712972888745,0.0,0.0
6,0.001011581309089966,0.0,0.005265410403724694,0.00018156587599050668,0.0031903718209760467,0.5622446729868884,5.18759645687162e-05,0.006795751358501822,2.59379822843581e-05,0.0,0.012787425266188543,0.005861983996264931,0.022086191915130924,0.0014006510433553375,0.00037610074312319246,0.0013358060876444422,0.0,0.0012190851673648307,0.0010764262648008613,0.060098304952857715,0.0001037519291374324,0.03950354701907739,0.0027105191487154213,0.0,0.0009207983710947125,0.005382131324004306,0.021761967136576448,0.003838821378084999,0.026819873682026277,0.008131557446146265,0.003566472564099239,1.296899114217905e-05,0.0,0.009026417834956618,0.00014265890256396957,0.08620488412206415,6.484495571089525e-05,9.078293799525334e-05,9.078293799525334e-05,0.0009337673622368916,0.000518759645687162,3.890697342653715e-05,0.00029828679627011813,0.002062069591606469,0.0001556278937061486,0.008507658189269456,0.004837433696032786,0.00806671249043537,0.016561401688562648,0.0021917595030282594,0.0,0.00016859688484832766,0.012164913691363948,0.01674296756455315,0.0037739764223741036,0.009532208489501601,0.0036961624755210295,0.0017508138041941717,0.002347387396734408,0.0030477129184120766,0.001789720777620709,0.007431231924468595,0.0,0.0
7,0.0044782041834363125,0.0,0.0024375035428830564,0.006046520416454093,0.05196228482890237,0.0029287833267199513,0.35149178995899705,0.016495663511138823,0.0017005838671277137,0.0,0.007841581165088903,0.0033255862290497516,0.012867751261266366,0.020482587910738242,0.027625040152674637,0.012414262230032311,0.0,0.008389547077830054,0.020822704684163786,0.00177616537233339,7.558150520567617e-05,0.11225743060673053,0.007539255144266198,0.0,5.668612890425713e-05,0.0010014549439752091,0.1960773198798254,0.00026453526821986655,0.020047994255805602,0.005441868374808684,0.017780549099635317,0.0,0.0,0.01146949341496136,0.0,0.031196266273642838,0.00011337225780851425,1.8895376301419042e-05,0.0016816884908262947,0.0005857566653439903,0.0,0.0,1.8895376301419042e-05,0.0018895376301419043,1.8895376301419042e-05,0.004459308807134894,0.0026453526821986657,0.0003968029023297999,0.0007180242994539235,0.0036845983787767134,0.00034011677342554275,0.0,0.011582865672769872,0.002324131285074542,0.004100296657407932,0.0024563989191844753,0.0007936058046595998,0.00034011677342554275,0.0013226763410993329,0.002834306445212856,7.558150520567617e-05,0.001303780964797914,0.0,0.0
8,0.00033851421276101865,0.0,2.9015503950944454e-05,0.00033851421276101865,0.1741413828789183,0.01750602071706982,0.01784453492983084,0.3750544040699081,0.040350894161113426,0.0,0.026239687406304106,0.01420792510131247,0.01978857369454412,0.014884953526834508,0.006837987097772578,0.013995144739005542,0.00043523255926416685,0.008646620177381449,0.006277020688054318,0.00403315504918128,0.0007157157641232967,0.016974069811302506,0.005696710609035428,0.017854206764481156,0.00019343669300629637,0.018279767489095006,0.002195506465621464,0.0026500826941862603,0.016906366968750305,0.0031723617653032603,0.00040621705531322243,0.0,0.00010639018115346301,0.0019827261033145377,5.803100790188891e-05,0.032323271401352126,0.044519454895399116,0.0009478397957308523,0.0007157157641232967,0.0049809948449121315,0.01890843674136547,0.005416227404176298,0.008636948342731134,0.0,0.0013540568510440746,0.003588250655266798,0.0030853152534504272,0.007901888909307207,0.0038977493640768718,0.0005222790711170003,0.0,3.868733860125928e-05,0.00106390181153463,0.006663894074066911,0.01621966670857795,0.006073912160397706,0.0004932635671660557,0.0006673565908717226,0.0014217596935962784,0.0011509483233874635,0.00010639018115346301,0.0011606201580377782,0.0,0.0
9,0.0,0.0,0.0,5.192737091721046e-05,0.07207519083308811,0.0019386218475758571,0.00034618247278140306,0.000450037214615824,0.130026136776695,0.0,0.05699894414345802,0.0701192598618732,0.008602634448617866,0.002907932771363786,0.005227355338999186,0.012185623041905388,0.0,0.004933100237134994,0.016564831322590137,0.006127429768230834,0.0,0.004223426167933117,0.04022640333719904,0.017551451370017138,0.00034618247278140306,0.00012116386547349107,0.0002942551018641926,0.015007010195073823,0.07849687570318314,0.02265764284354283,0.00027694597822512245,1.7309123639070153e-05,0.00027694597822512245,0.00034618247278140306,3.4618247278140306e-05,0.008827653055925777,0.0007616014401190868,0.0007096740692018762,0.007598705277551797,0.10369895972166929,0.003981098436986135,0.0032368061205061186,0.01701486853720596,0.005088882349886625,0.02463088293839683,0.13333217939175737,0.008014124244889481,0.04953871185501878,0.0010904747892614196,0.00012116386547349107,0.0,0.0073736866702438855,0.01931698198120229,0.01580322988247105,0.00791026950305506,0.0029252418950028555,0.0016616758693507347,0.0033233517387014693,0.004119571426098697,0.0,0.0009520018001488585,0.0005365828328111748,0.0,0.0
10,0.03778659969213319,0.0009479056955359312,0.014121364336060926,0.005411974398444462,0.0053633638499554406,0.0015636393097302114,0.00382402981446974,0.0008506845985578871,0.0007291582273353318,0.08018309973264198,0.06184071943611763,0.0,0.010977882200437494,0.0,0.011391071862594183,0.0012071619541440494,0.0,0.005233735720651381,0.0021631694077614842,0.0022117799562505064,0.0008182775662318723,0.0013854006319371304,0.014259094223446489,0.19193064895082232,0.005444381430770477,0.016430365389289478,0.06525966134651219,0.022466175160009722,0.010742931216073887,0.008101758081503686,0.24447055010937374,0.007129547111723244,0.08641335169731831,0.002454832698695617,0.002406222150206595,0.002349509843636069,0.0004861054848902212,0.0007858705339058575,0.0004536984525642064,0.0008425828404763834,0.0,0.0,0.0001134246131410516,0.003354127845742526,0.0018309973264198332,0.005460584946933485,0.0028680223608523047,0.0005347160333792432,0.00027545977477112533,0.001960625455723892,0.00021064571011909585,4.8610548489022115e-05,0.0028275135704447863,0.01804261524750871,0.018010208215182694,0.005128412865591833,0.002138864133516973,0.0010208215182694646,0.002057846552701936,0.002017337762294418,0.0005752248237867617,0.001085635582921494,0.0,0.0
