ind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,0.027654393111484352,0.00033020170879384303,0.0,0.0,0.2340558612390819,0.00024765128159538226,0.0007524788940782768,0.00011112557507485101,0.0,0.014808276632831574,0.07001546233001756,0.003946545423372565,0.008839245743096719,6.66753450449106e-05,0.0,0.018878647697001833,9.525049292130086e-05,0.000765178959801117,0.0028130645576090853,5.397527932207049e-05,0.0,0.00023812623230325215,0.00789309084674513,0.027676618226499323,0.014830501747846545,0.00026352636374893243,0.011639610234982967,0.023533221784422735,0.062357322699144964,0.053324400953774935,0.004175146606383687,1.2700065722840116e-05,3.175016430710029e-06,0.0010223552906886294,0.0,3.175016430710029e-05,0.0,0.0,0.0,0.0,0.018091243622185744,0.01447489990760702,0.0027051139989649445,0.0,0.0003175016430710029,0.0004318022345765639,0.0,6.350032861420057e-05,0.009198022599766953,0.0007016786311869164,0.00011112557507485101,0.0,0.002832114656193346,0.00015875082153550145,0.00020637606799615187,0.0,0.0,3.175016430710029e-05,0.0,0.0002540013144568023,0.000549277842512835,0.0,0.0,0.0
2,7.840062720501764e-05,0.6246177969423756,0.0,0.0,0.0005488043904351234,0.0,0.0,0.0,0.0,0.009172873382987064,0.004939239513916111,0.0,0.0,0.0,0.0,7.840062720501764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.005880047040376323,0.0022736181889455114,0.0,0.0,0.0009408075264602117,0.02602900823206586,0.057624460995687965,0.0015680125441003528,0.008232065856526851,0.00015680125441003528,7.840062720501764e-05,7.840062720501764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.010505684045472363,0.00023520188161505292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.1498152502519315,0.010077258985555929,0.5518978837756131,0.13637890493785693,0.0433322136378905,0.001007725898555593,0.0,0.5854887470607996,0.06382264024185422,0.0094054417198522,0.05508901578770574,0.0,0.006382264024185421,0.02788041652670474,0.020154517971111858,0.025529056096741685,0.05408128988915016,0.05105811219348337,0.026200873362445417,0.04568357406785355,0.40846489754786697,0.06315082297615049,0.016795431642593214,0.018474974806852538,0.007389989922741015,0.013100436681222708,0.26469600268726906,0.20960698689956334,0.05139402082633524,0.24991602284178707,0.024521330198186093,0.12395028552233793,0.0013436345314074573,0.017803157541148806,0.0,0.0,0.03224722875377897,0.008733624454148473,0.07591535102452134,0.05441719852200202,0.011420893516963387,0.01175680214981525,0.023849512932482365,0.008397715821296607,0.0,0.010077258985555929,0.008733624454148473,0.07826671145448438,0.0047027208599261,0.010077258985555929,0.018474974806852538,0.09371850856567014,0.0030231776956667787,0.007054081289889151,0.0,0.0050386294927779645,0.00235136042996305,0.10178031575411489,0.008733624454148473,0.0030231776956667787,0.0,0.0
4,7.112072031065531e-06,4.267243218639318e-05,0.0,0.0018882551242478984,0.0007289873831842168,4.978450421745871e-05,0.0011379315249704848,0.00012446126054364677,1.0668108046598295e-05,0.0023754320583758873,0.003388902322802725,1.0668108046598295e-05,0.0005014010781901199,0.005931468073908653,0.0008427805356812653,0.001091703056768559,6.756468429512254e-05,0.000181357836792171,0.003349785926631865,3.556036015532765e-05,6.045261226405701e-05,0.0001422414406213106,0.0031257556576533008,0.006493321764362829,7.823279234172085e-05,0.0012339444973898696,0.0020696129610400693,0.001045474588566633,0.0035631480875638307,0.0018278025119838413,0.008232223375958352,0.00016713369273003997,0.0001849138728077038,0.0035987084477191586,4.267243218639318e-05,9.956900843491742e-05,2.133621609319659e-05,0.0,0.0018775870162012999,0.00013512936859024508,0.001123707380908354,0.0003769398176464731,0.00020625008890090037,0.0014473066583218356,0.0021265095372885933,0.001952263772527488,0.0,0.00023114234100962973,0.0016713369273003997,0.0021478457533817903,0.00011734918851258124,1.7780180077663826e-05,0.003516919619361905,0.00012801729655917955,0.0001564655846834417,0.00017780180077663825,0.0,3.5560360155327653e-06,3.5560360155327653e-06,2.133621609319659e-05,0.00013868540460577783,6.756468429512254e-05,0.0,0.0
5,0.5193830175891803,0.00048248685364127384,0.003816715071800427,0.001764737908259912,0.44297362092303305,0.00046183566535312596,0.005162797072036977,0.03380224046619119,0.007817413457440718,0.0012428260587958105,0.01791208976883811,0.0032516234650065614,0.03880358279342992,0.01983828242189627,0.0008542082428279362,0.01506973530808757,1.6896426781211925e-05,0.0002853618745271347,0.0024762652138242813,0.0,1.8773807534679918e-05,0.0004374297155580421,0.009841229909679214,0.03535483434930922,0.0025982949627997008,0.0050820696996378536,0.010590304830312942,0.0015976510212012609,0.13574777014101008,0.13029961119444597,0.045374415430567895,0.0005669689875473335,0.00040739162350255417,0.02377139510041171,0.0004862416151482098,0.0003022583013083467,0.001774124812027252,0.006343669565968344,0.00539371490471354,0.0009724832302964196,0.01631068398612991,0.0019975331216899434,0.0019731271718948593,0.0058086160512299655,0.01934828604524112,8.63595146595276e-05,0.0,0.018373925434191234,0.0021364592974465746,0.0090208145204137,0.01072359886380917,2.8160711302019877e-05,0.02094030492418198,0.0003886178159678743,0.0024086795066994337,0.0017947760003154,0.0,0.00037735353144706634,0.0011865046361917708,0.0014756212722258414,0.00041677852726989417,0.0007227915900851768,0.0,0.0
6,0.08743693828057117,0.0,0.0,0.0003371937696966553,0.025224687771538253,0.5622446729868884,0.002010193627037753,0.023473873967344083,0.0014525270079240535,0.002503015290440557,0.059929708068009395,0.00014265890256396957,0.031903718209760464,0.003877728351511536,0.0020880075738908275,0.016457649759425215,0.0006225115748245944,0.0006743875393933106,0.0018545657333316043,0.0003242247785544763,3.890697342653715e-05,0.01119223935570052,0.005395100315146485,0.03045119120183641,0.002075038582748648,0.006251053730530302,0.013332122894160064,0.0015044029724927699,0.12764081082132622,0.10303863462461256,0.02894678822934364,0.0006743875393933106,0.0006354805659667735,0.017637827953363508,0.0008559534153838173,0.0006095425836824154,0.00042797670769190865,0.0009078293799525335,0.0072237280661937315,0.001802689768762888,0.02052991297806944,0.003021774936127719,0.0032163098032604045,0.02663830780603577,0.028687408406500057,5.18759645687162e-05,0.0,0.020906013721192628,0.006769813376217465,0.011218177337984879,0.00504493755430765,0.0004409456988340877,0.023318246073637933,0.0009337673622368916,0.002554891255009273,0.0018675347244737832,0.0,2.59379822843581e-05,0.0009337673622368916,0.0005446976279715202,0.00035016276083883437,0.0022176974853126176,0.0,0.0
7,0.0006991289231525046,0.013774729323734483,0.0,5.668612890425713e-05,1.8895376301419042e-05,7.558150520567617e-05,0.35149178995899705,0.034861969276118135,0.0003779075260283808,0.008918617614269788,0.042155584528465885,1.8895376301419042e-05,0.022750033066908527,0.010335770836876217,0.0007180242994539235,0.005139542353985979,0.0,0.00011337225780851425,0.008200593314815863,0.0014549439752092662,0.00015116301041135234,0.0013982578463050091,0.01914101619333749,0.029930276061447762,0.0003968029023297999,0.0030232602082270466,0.00026453526821986655,0.001757269996031971,0.07688528617047408,0.013075600400581977,0.03435179411597982,0.00043459365493263795,0.000453489031234057,0.0177616537233339,0.0002267445156170285,0.000453489031234057,9.44768815070952e-05,7.558150520567617e-05,0.002380817413978799,0.0003968029023297999,0.008332860948925798,0.002815411068911437,0.0011148272017837235,0.006046520416454093,0.006386637189879636,5.668612890425713e-05,0.0,0.002135177522060352,9.44768815070952e-05,0.002872097197815694,0.001813956124936228,1.8895376301419042e-05,0.011507284167564196,0.0003968029023297999,0.00017005838671277137,7.558150520567617e-05,3.7790752602838085e-05,1.8895376301419042e-05,0.0,0.0012281994595922377,0.0007180242994539235,0.0005668612890425712,0.0,0.0
8,0.002301896646774927,0.021955064656214638,0.0,0.006896018105674466,0.0056870387743851135,0.005068041356764965,0.008443511649724837,0.3750544040699081,0.0002514677009081853,0.0010155426382830559,0.05808903890979081,8.704651185283337e-05,0.017950925110984305,0.00015474935440503712,0.0018860077568113897,0.0036559534978190013,0.0,9.67183465031482e-06,0.006663894074066911,0.0,0.0,0.00044490439391448163,0.017447989709167933,0.07951215266023813,0.0010445581422340005,0.021558519435551732,0.00479722998655615,0.0014314315282465933,0.06440474693644638,0.029141237801398552,0.040263847649260595,0.0005512945750679447,0.0005803100790188891,0.022670780420337936,0.0005996537483195188,0.00022245219695724082,4.8359173251574093e-05,0.0,0.002243865638873038,0.0005803100790188891,0.009517085295909783,0.0018956795914617046,0.0010542299768843153,0.005928834640642984,0.005803100790188891,2.9015503950944454e-05,0.0,0.007698780381650595,4.8359173251574093e-05,0.0032980956157573535,0.0070507674600795035,1.934366930062964e-05,0.020513961293317732,0.000319170543460389,0.0006480129215710929,0.00022245219695724082,0.0,0.0,0.00039654522066290753,0.0010155426382830559,0.0008511214492277041,0.0007544031027245558,0.0,0.0
9,0.0,0.0,0.0,0.0002942551018641926,0.0,3.4618247278140306e-05,0.0015578211275163137,0.07221366382220068,0.130026136776695,0.0015578211275163137,0.03247191594689561,0.00017309123639070153,0.03269693455420352,0.006473612241012237,0.012410641649213301,0.003998407560625206,0.006231284510065255,0.0007616014401190868,0.01794956121371575,0.00010385474183442092,0.00036349159642047325,0.0,0.003808007200595434,0.011908677063680265,0.0009693109237879286,0.0033579699859796093,0.009381545012376024,0.0008308379346753673,0.029252418950028558,0.01448773648590172,0.008637252695896006,0.00013847298911256122,0.00020770948366884183,0.009883509597909058,0.0003288733491423329,0.00034618247278140306,0.0191958181157288,0.03667803299118966,0.0016270576220725945,0.0017309123639070152,0.0077544873903034285,0.0023021134439963303,0.0013674207674865423,0.01810534332646738,0.008966126045038339,0.0014193481384037524,0.0,0.022138369134370728,0.0070621224447406225,0.008377615841309954,0.0037906980769563635,0.00012116386547349107,0.026656050404168036,0.0006923649455628061,0.0033406608623405398,0.0005019645855330344,0.0,0.0007789105637581569,0.000796219687397227,0.00017309123639070153,0.0007442923164800166,0.00036349159642047325,0.0,0.0
10,0.0,0.0,0.0,1.3740905776553514,0.0007129547111723245,0.0,0.0,0.0,0.0,0.08018309973264198,0.0069432066758486595,0.0,0.0,5.67123065705258e-05,8.101758081503686e-06,8.101758081503686e-06,0.0,0.0,0.053512112128331846,0.0,0.0,3.2407032326014746e-05,0.005881876367171676,0.09858219233573685,0.01971157741229847,0.006003402738394231,0.0024143239082880987,0.0009398039374544276,0.012792676010694322,0.005557806043911528,0.032253098922466174,0.000980312727861946,0.001085635582921494,0.05529449890626266,0.001182856679899538,0.0007858705339058575,3.2407032326014746e-05,0.0,0.006473304707121446,0.0003888843879121769,0.014907234869966783,0.0007858705339058575,0.0009722109697804424,0.0007534635015798429,0.0523130519322693,0.008693186421453456,0.0,0.0007534635015798429,0.00017013691971157742,0.004099489589240866,2.4305274244511058e-05,0.00038078262983067327,0.01613060034027384,0.0,0.005233735720651381,0.0011504496475735235,0.0,0.0005671230657052581,0.006052013286883254,0.0028842258770153126,0.0005104107591347323,0.001652758648626752,0.0,0.0
