;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;total ventas
12;124.3;0.0;2.8;0.3;173.2;1.1;0.1;0.9;1.0;0.0;148.7;724.5;0.6;0.0;0.0;0.0;0.0;0.5;1.1;0.0;1.1;4.1;3.5;0.0;0.5;5.7;6.7;0.5;528.5;4.6;1.2;0.0;0.0;20.7;0.0;110.3;0.0;0.1;1.2;2.0;0.4;0.0;1.2;0.1;15.3;17.2;89.8;13.8;35.4;1.5;0.0;0.3;0.0;101.1;11.8;4,614.8;347.8;3.4;5.6;28.5;0.0;26.8;0.0;0.0;7,184.6
13;278.4;0.0;16.4;14.1;2,066.9;246.0;120.4;185.6;188.9;0.0;874.9;277.6;3,559.5;294.3;184.8;110.5;43.0;545.5;247.9;2,930.8;69.9;253.5;72.4;0.0;4.1;150.2;1,302.8;910.5;519.3;93.9;44.6;0.4;5.4;282.7;0.0;1,017.3;6.0;14.3;37.8;16.5;14.8;1.3;7.0;3.0;8.1;163.3;80.3;178.3;6.6;107.6;2.2;0.0;220.3;18.7;11.8;56.8;5.9;62.9;69.0;24.7;4.9;57.6;0.0;0.0;18,092.2
14;2.1;0.0;0.0;166.8;1,056.7;29.9;54.7;1.6;37.4;0.7;345.6;75.2;87.2;1,596.5;343.9;56.7;2.0;185.2;21.3;596.3;143.1;103.0;29.0;0.0;12.1;71.2;6,083.1;294.0;152.9;23.8;7.8;0.4;7.2;22.1;1.1;387.5;0.6;1.4;0.0;7.6;0.5;0.0;0.6;6.9;3.6;75.0;20.2;14.9;0.5;8.4;0.0;0.3;180.3;42.1;12.4;152.1;9.5;16.1;9.9;18.6;1.9;10.8;0.0;0.0;12,592.3
15;0.0;0.0;1.9;23.7;45.5;16.1;3.8;19.5;71.7;0.1;36.8;11.3;14.7;88.6;5,079.4;6,904.0;18.9;1,567.5;1,945.5;4,128.9;283.0;337.4;594.4;125.4;7.9;77.5;1,861.7;7.5;660.3;21.8;46.7;8.9;7.0;194.8;0.0;22.4;0.0;8.2;5.6;7.9;6.9;1.2;3.5;9.0;19.6;219.6;122.7;33.4;1.0;0.0;0.0;0.0;18.2;29.0;6.7;0.0;0.0;1.6;2.0;0.0;0.5;1.0;0.0;0.0;24,732.2
16;594.6;0.1;8.3;30.7;802.7;126.9;27.2;37.8;23.1;0.1;267.9;42.2;267.7;37.8;1,952.6;3,765.6;161.1;1,086.2;1,313.4;5,801.0;444.5;320.5;564.0;917.3;58.7;311.9;2,481.2;65.0;308.1;34.8;21.9;0.0;0.6;243.0;0.0;412.1;0.7;12.1;0.1;2.2;0.0;0.0;0.4;8.6;0.2;273.7;116.5;58.6;1.9;323.4;8.2;0.5;89.0;42.6;19.4;3.8;0.0;10.0;41.3;11.4;47.1;37.6;0.0;0.0;23,639.9
17;3.0;0.0;6.0;1.9;0.9;4.8;0.0;0.0;36.0;0.0;0.0;59.8;0.2;0.3;0.0;38.4;741.9;273.4;171.6;1,566.6;13.0;69.9;76.3;147.6;25.3;19.0;87.9;19.2;240.1;144.6;44.5;2.1;5.5;29.7;8.7;503.1;18.3;1,002.5;831.6;752.1;23.6;1.0;10.6;13.6;5.6;546.4;100.9;181.0;46.8;44.0;0.0;0.0;291.0;62.1;54.1;149.1;61.1;35.9;35.1;49.7;143.1;34.9;0.0;0.0;8,835.4
18;24.1;0.0;7.6;5.1;15.2;5.2;0.6;0.1;4.4;0.0;3.8;0.0;0.1;31.7;77.4;52.5;302.5;1,850.7;1,090.0;1,516.1;426.9;42.7;552.5;744.8;101.0;44.1;3,743.6;73.6;285.3;41.8;45.8;0.6;0.9;39.0;3.3;446.1;2.7;12.0;254.4;104.4;18.5;2.9;8.7;37.7;43.3;569.1;88.7;57.4;7.2;0.0;0.6;0.0;148.2;52.9;28.1;0.3;0.0;37.1;20.3;19.3;25.8;32.8;0.0;0.0;13,151.5
19;88.6;0.0;16.1;94.2;131.9;14.3;43.4;68.9;103.7;660.5;57.6;182.2;83.3;67.5;119.6;108.0;45.3;94.1;2,644.1;1,258.9;194.1;36.4;462.9;1,301.8;188.2;51.8;487.1;173.5;510.8;47.4;8.4;0.0;0.7;682.3;0.0;815.4;10.2;11.0;242.1;53.4;0.0;0.0;0.9;14.8;72.9;1,187.5;80.2;29.2;10.6;27.0;0.1;0.0;25.6;82.2;11.6;4.1;1.9;20.7;28.7;11.1;22.8;28.5;0.0;0.0;12,820.1
20;1.7;0.0;15.2;1.0;0.0;2.5;7.7;0.0;0.6;0.0;0.0;0.0;113.3;33.8;17.2;125.7;2.8;431.3;143.3;18,226.6;738.8;6.6;64.4;0.0;0.1;115.1;20.2;2,406.6;129.1;15.4;435.9;0.1;0.1;22.0;7.6;51.5;0.2;0.4;0.0;10.1;0.0;0.0;0.2;16.8;0.6;129.3;124.0;5.6;216.0;132.8;0.1;0.1;188.4;15.6;11.1;2.2;0.0;3.7;58.1;3.8;2.6;5.1;0.0;0.0;24,063.0
21;0.0;0.0;7.8;1.7;1.0;0.3;0.8;0.0;2.1;0.0;0.2;0.0;3.7;0.0;3.8;2.3;10.6;26.4;30.5;14.3;3,495.8;3.5;826.8;0.0;0.1;0.1;3.0;23.8;28.7;13.0;72.5;0.2;288.7;154.8;1.1;28.8;0.0;0.1;0.0;17.1;9.8;3.6;4.8;2.1;0.2;425.4;106.8;16.4;2.5;47.2;0.0;0.1;15.3;17.6;13.4;0.0;0.0;1.6;22.7;10.4;0.9;2.0;0.0;0.0;5,766.4
22;7.5;0.0;13.6;4.0;23.3;86.3;7.4;4.6;0.0;0.4;10.4;36.5;10.8;2.9;23.3;48.9;3.5;7.1;107.0;1,175.0;0.8;567.7;97.0;225.6;8.8;14.3;886.8;26.5;101.8;71.6;2.0;0.0;0.6;2.5;0.6;270.5;0.5;82.3;0.1;8.4;99.8;11.7;42.8;9.0;4.5;38.1;45.6;39.8;53.9;49.4;0.6;0.3;188.9;33.9;224.6;1,671.3;19.8;58.9;7.2;20.2;8.9;18.8;0.0;0.0;6,588.9
